,city,lat,lon,humidity,wind,clouds,country,date,temp
88,santa isabel do rio negro,-0.41,-65.02,94,2.13,95,BR,1595634652,75.78
89,rexburg,43.83,-111.79,25,14.99,1,US,1595634379,84.2
90,barrow,71.29,-156.79,80,13.87,90,US,1595634652,35.6
91,lingdong,46.57,131.15,72,3.42,6,CN,1595634652,74.39
92,coari,-4.08,-63.14,83,1.86,41,BR,1595634641,77.5
93,saldanha,-33.01,17.94,61,1.12,0,ZA,1595634652,50.0
94,makakilo city,21.35,-158.09,43,10.29,20,US,1595634483,89.6
95,burnie,-41.07,145.92,63,1.99,100,AU,1595634652,51.01
96,richards bay,-28.78,32.04,78,9.04,0,ZA,1595634653,60.39
97,atamanovka,51.93,113.63,88,2.24,20,RU,1595634653,64.4
98,ca mau,9.18,105.15,85,2.89,86,VN,1595634445,78.71
99,new norfolk,-42.78,147.06,85,2.37,100,AU,1595634653,45.0
100,bengkulu,-3.8,102.27,88,4.92,89,ID,1595634653,74.43
101,harper,4.38,-7.72,85,9.46,71,LR,1595634653,75.27
102,atar,20.52,-13.05,27,17.85,0,MR,1595634654,95.99
103,nanortalik,60.14,-45.24,90,6.85,100,GL,1595634654,45.48
104,hasaki,35.73,140.83,94,5.82,75,JP,1595634654,79.0
105,etla,17.06,-96.79,75,2.01,49,MX,1595634654,70.32
106,gimli,50.63,-96.99,97,4.0,24,CA,1595634654,90.0
107,sao domingos,-13.4,-46.32,46,7.58,30,BR,1595634654,71.13
108,sioux lookout,50.1,-91.92,66,9.17,75,CA,1595634390,84.2
109,juazeiro,-9.41,-40.5,50,18.9,28,BR,1595634654,73.38
110,tessalit,20.2,1.01,41,20.89,92,ML,1595634655,88.54
111,nikolskoye,59.7,30.79,81,6.71,97,RU,1595634655,53.6
112,vila franca do campo,37.72,-25.43,77,4.7,40,PT,1595634655,66.2
113,upernavik,72.79,-56.15,79,4.45,68,GL,1595634655,46.56
114,pangnirtung,66.15,-65.71,68,2.59,62,CA,1595634655,52.86
115,williams lake,52.14,-122.14,82,10.29,90,CA,1595634655,55.4
116,sola,-13.88,167.55,82,28.01,85,VU,1595634655,80.24
117,severo-kurilsk,50.68,156.12,76,5.57,100,RU,1595634564,52.9
118,gat,31.61,34.76,62,1.01,0,IL,1595634656,77.0
119,broome,42.25,-75.83,54,6.93,1,US,1595634656,80.01
120,providencia,28.72,-111.58,48,11.01,0,MX,1595634656,97.0
121,xichang,27.9,102.26,78,2.13,100,CN,1595634656,69.71
122,vavoua,7.38,-6.48,97,5.03,91,CI,1595634656,70.92
123,livramento,-3.03,-60.18,88,1.59,75,BR,1595634656,80.6
124,victoria,22.29,114.16,74,10.0,100,HK,1595634366,86.0
125,abeche,13.83,20.83,63,6.58,100,TD,1595634657,80.64
126,talcahuano,-36.72,-73.12,71,5.82,90,CL,1595634657,50.0
127,east london,-33.02,27.91,27,4.81,0,ZA,1595634657,64.87
128,arraial do cabo,-22.97,-42.03,83,12.75,0,BR,1595634657,71.6
129,vorchdorf,48.0,13.92,86,1.99,100,AT,1595634657,62.01
130,fort-shevchenko,44.51,50.26,67,8.75,65,KZ,1595634657,80.06
131,port elizabeth,-33.92,25.57,53,3.36,0,ZA,1595634657,51.8
132,saint george,37.1,-113.58,26,6.93,1,US,1595634657,93.99
133,porbandar,21.64,69.61,81,12.37,97,IN,1595634658,82.98
134,tual,-5.67,132.75,78,20.96,66,ID,1595634658,79.72
135,jiangkou,25.49,119.2,83,6.71,75,CN,1595634658,80.6
136,havoysund,71.0,24.66,82,14.99,17,NO,1595634658,62.6
137,havre-saint-pierre,50.23,-63.6,77,13.87,40,CA,1595634658,64.4
138,port alfred,-33.59,26.89,26,11.21,0,ZA,1595634658,67.17
139,hermiston,45.84,-119.29,23,11.41,1,US,1595634659,87.01
140,talnakh,69.49,88.4,81,20.13,1,RU,1595634659,50.0
141,dwarka,22.24,68.97,82,15.77,100,IN,1595634659,83.26
142,male,4.17,73.51,78,14.99,75,MV,1595634440,82.4
143,provideniya,64.38,-173.3,64,0.87,100,RU,1595634659,50.95
144,mar del plata,-38.0,-57.56,80,16.11,75,AR,1595634659,42.01
145,sarangarh,21.6,83.08,84,0.72,100,IN,1595634659,75.83
146,calatayud,41.35,-1.64,73,2.24,1,ES,1595634659,73.4
147,niquero,20.04,-77.58,78,1.52,96,CU,1595634660,81.23
148,longyearbyen,78.22,15.64,87,14.99,0,SJ,1595634660,51.8
149,lompoc,34.64,-120.46,68,14.99,12,US,1595634660,66.2
150,erzin,36.96,36.2,87,0.83,4,TR,1595634660,81.0
151,kahului,20.89,-156.47,52,28.86,1,US,1595634660,89.6
152,dodge city,37.75,-100.02,52,18.34,1,US,1595634447,90.0
153,neiafu,-18.65,-173.98,78,11.41,75,TO,1595634661,78.8
154,ilebo,-4.32,20.58,45,0.31,1,CD,1595634661,73.65
155,rocha,-34.48,-54.33,88,7.23,100,UY,1595634661,44.58
156,mamlyutka,54.94,68.54,67,8.95,75,KZ,1595634661,60.8
157,krasnoselkup,65.7,82.47,67,11.1,31,RU,1595634661,52.65
158,fare,-16.7,-151.02,74,17.92,0,PF,1595634661,77.99
159,meulaboh,4.14,96.13,88,3.87,68,ID,1595634661,75.72
160,itarema,-2.92,-39.92,79,13.94,11,BR,1595634662,77.83
161,jian,27.12,114.98,76,2.26,100,CN,1595634662,84.61
162,acapulco,16.86,-99.89,74,8.05,40,MX,1595634662,86.0
163,tucupita,9.06,-62.05,83,5.06,82,VE,1595634662,76.96
164,kodiak,57.79,-152.41,82,4.7,90,US,1595634662,59.0
165,cruzilia,-21.84,-44.81,65,4.79,0,BR,1595634662,56.93
166,saint-philippe,-21.36,55.77,59,10.29,75,RE,1595634662,66.2
167,novosergiyevka,52.09,53.65,87,4.45,59,RU,1595634663,58.12
168,caravelas,-17.71,-39.25,79,4.85,5,BR,1595634663,69.44
169,jamestown,42.1,-79.24,73,10.29,1,US,1595634393,77.0
170,srivardhan,18.03,73.02,85,11.52,100,IN,1595634663,80.01
171,ostersund,63.18,14.64,100,12.75,98,SE,1595634663,46.4
172,ayorou,14.73,0.92,54,12.21,32,NE,1595634663,86.38
173,hirara,24.8,125.28,83,8.05,75,JP,1595634663,84.2
174,karratha,-20.74,116.85,44,15.05,0,AU,1595634395,67.28
175,morden,49.19,-98.1,79,2.57,1,CA,1595634527,86.0
176,chuy,-33.7,-53.46,90,10.02,100,UY,1595634664,47.7
177,college,64.86,-147.8,67,11.41,90,US,1595634664,62.6
178,daru,-9.08,143.21,85,17.67,89,PG,1595634664,78.71
179,port hedland,-20.32,118.57,34,10.29,0,AU,1595634665,64.4
180,padang,-0.95,100.35,78,5.7,99,ID,1595634665,77.56
181,nisia floresta,-6.09,-35.21,83,6.93,20,BR,1595634665,75.2
182,hami,42.8,93.45,33,5.93,0,CN,1595634665,77.68
183,la macarena,2.18,-73.78,90,1.92,37,CO,1595634665,74.86
184,paso de carrasco,-34.86,-56.05,75,8.05,75,UY,1595634619,44.6
