,city,lat,lon,humidity,wind,clouds,country,date,temp
87,coihaique,-45.58,-72.07,84,4.7,90,CL,1595627564,41.0
88,dilla,6.41,38.31,85,1.16,97,ET,1595627829,63.34
89,saskylakh,71.92,114.08,88,9.13,100,RU,1595627547,45.34
90,yellowknife,62.46,-114.35,72,6.93,75,CA,1595627320,59.0
91,vardo,70.37,31.11,87,18.34,10,NO,1595627590,60.8
92,khatanga,71.97,102.5,90,12.24,99,RU,1595627555,40.87
93,upington,-28.45,21.26,40,8.05,0,ZA,1595627830,53.6
94,joniskis,56.24,23.62,93,8.05,90,LT,1595627830,55.4
95,micheweni,-4.97,39.83,73,18.03,64,TZ,1595627831,76.14
96,kapaa,22.08,-159.32,74,11.41,20,US,1595627547,82.4
97,bethel,41.37,-73.41,57,2.55,1,US,1595627566,81.0
98,pokhara,28.23,83.98,81,1.07,22,NP,1595627831,68.97
99,saint george,37.1,-113.58,26,8.05,75,US,1595627433,96.01
100,isangel,-19.55,169.27,83,12.75,75,VU,1595627666,77.0
101,dejen,10.17,38.13,100,4.47,100,ET,1595627831,54.97
102,northam,51.03,-4.22,96,5.01,99,GB,1595627370,63.0
103,sao francisco,-15.95,-44.86,50,1.34,18,BR,1595627832,71.76
104,dongli,23.57,116.82,88,4.23,100,CN,1595627832,82.4
105,atasu,48.68,71.64,43,10.8,41,KZ,1595627348,71.17
106,puerto ayora,-0.74,-90.35,65,18.34,75,EC,1595627551,77.0
107,marsh harbour,26.54,-77.06,73,15.01,0,BS,1595627832,83.44
108,yinchuan,38.47,106.27,77,3.98,100,CN,1595627688,70.72
109,vestmannaeyjar,63.44,-20.27,73,4.45,17,IS,1595627832,51.46
110,gulu,2.77,32.3,91,0.87,66,UG,1595627833,63.61
111,santiago del estero,-27.8,-64.26,48,3.4,44,AR,1595627833,49.21
112,cabo san lucas,22.89,-109.91,58,11.41,5,MX,1595627400,93.0
113,tiksi,71.69,128.87,64,5.91,16,RU,1595627549,63.01
114,salalah,17.02,54.09,94,8.05,75,OM,1595627833,78.8
